조사일,조사지역명,조사지역코드,조사시장명,조사시장코드,품목명,품목코드,유통단계,유통단계 구분,유통단계,품목명,상품코드,조사가격,전날조사가격,규격,등급,
20220101,제주,3900,동문시장,212,일반,1,소비자가격,0,2,양배추,7,2000,0,1포기,중(2등급),666.666666666667
20220101,제주,3904,C-유통,212,일반,1,소비자가격,0,2,양배추,7,2980,0,1포기,중(2등급),993.333333333333
20220101,제주,3900,동문시장,213,일반,1,소비자가격,0,1,시금치,7,4660,0,1KG,상(1등급),4660
20220101,제주,3900,동문시장,319,일반,1,소비자가격,0,2,아몬드,7,1430,0,100G,중(2등급),14300
20220101,제주,3904,C-유통,319,일반,1,소비자가격,0,2,아몬드,7,1760,0,100G,중(2등급),17600
20220101,제주,3900,동문시장,411,후지,1,소비자가격,5,1,사과,7,30000,0,10개,상(1등급),15000
20220101,제주,3904,C-유통,411,후지,1,소비자가격,5,1,사과,7,17450,0,10개,상(1등급),8725
20220101,제주,3904,C-유통,242,일반고추,1,소비자가격,0,1,풋고추,7,1050,0,100G,상(1등급),10500
20220101,제주,3900,동문시장,256,일반,1,소비자가격,0,1,파프리카,7,1530,0,200G,상(1등급),7650
20220101,제주,3904,C-유통,256,일반,1,소비자가격,0,1,파프리카,7,1660,0,200G,상(1등급),8300
20220101,제주,3900,동문시장,242,청양고추,1,소비자가격,3,1,풋고추,7,730,0,100G,상(1등급),7300
20220101,제주,3904,C-유통,242,청양고추,1,소비자가격,3,1,풋고추,7,1050,0,100G,상(1등급),10500
20220101,제주,3900,동문시장,312,중국참깨,1,소비자가격,2,2,참깨,7,4230,0,500G,중(2등급),8460
20220101,제주,3904,C-유통,422,국산,1,소비자가격,1,1,방울토마토,7,8900,0,1KG,상(1등급),8900
20220101,제주,3900,동문시장,638,일반,1,소비자가격,0,2,건멸치,7,1280,0,100G,중(2등급),12800
20220101,제주,3904,C-유통,638,일반,1,소비자가격,0,2,건멸치,7,2990,0,100G,중(2등급),29900
20220101,제주,3900,동문시장,317,일반,1,소비자가격,0,1,새송이버섯,7,500,0,100G,상(1등급),5000
20220101,제주,3904,C-유통,317,일반,1,소비자가격,0,1,새송이버섯,7,580,0,100G,상(1등급),5800
20220101,제주,3900,동문시장,247,국산,1,소비자가격,0,1,생강,7,8000,0,1KG,상(1등급),8000
20220101,제주,3904,C-유통,247,국산,1,소비자가격,0,1,생강,7,6960,0,1KG,상(1등급),6960
20220102,제주,3900,동문시장,211,가을,1,소비자가격,3,1,배추,7,7550,0,1포기,상(1등급),3775
20220102,제주,3904,C-유통,211,가을,1,소비자가격,3,2,배추,7,2980,0,1포기,중(2등급),1490
20220102,제주,3900,동문시장,212,일반,1,소비자가격,0,1,양배추,7,3000,0,1포기,상(1등급),1000
20220102,제주,3900,동문시장,214,적,1,소비자가격,1,1,상추,7,660,0,100G,상(1등급),6600
20220102,제주,3904,C-유통,214,적,1,소비자가격,1,1,상추,7,890,0,100G,상(1등급),8900
20220102,제주,3900,동문시장,212,일반,1,소비자가격,0,2,양배추,7,2000,0,1포기,중(2등급),666.666666666667
20220102,제주,3904,C-유통,212,일반,1,소비자가격,0,2,양배추,7,2980,0,1포기,중(2등급),993.333333333333
20220102,제주,3900,동문시장,231,월동,1,소비자가격,6,1,무,7,1660,0,1개,상(1등급),1660
20220102,제주,3904,C-유통,231,월동,1,소비자가격,6,1,무,7,1480,0,1개,상(1등급),1480
20220102,제주,3900,동문시장,247,국산,1,소비자가격,0,1,생강,7,8000,0,1KG,상(1등급),8000
20220102,제주,3904,C-유통,247,국산,1,소비자가격,0,1,생강,7,6960,0,1KG,상(1등급),6960
20220102,제주,3904,C-유통,226,일반,1,소비자가격,0,1,딸기,7,2580,0,100G,상(1등급),25800
20220102,제주,3900,동문시장,252,일반,1,소비자가격,0,1,미나리,7,1330,0,1KG,상(1등급),1330
20220102,제주,3900,동문시장,221,일반,1,소비자가격,0,1,수박,7,24300,0,1개,상(1등급),4860
20220102,제주,3904,C-유통,221,일반,1,소비자가격,0,1,수박,7,19900,0,1개,상(1등급),3980
20220102,제주,3900,동문시장,243,일반,1,소비자가격,0,1,붉은고추,7,1000,0,100G,상(1등급),10000
20220102,제주,3904,C-유통,243,일반,1,소비자가격,0,1,붉은고추,7,1720,0,100G,상(1등급),17200
20220102,제주,3900,동문시장,223,다다기계통,1,소비자가격,2,1,오이,7,10000,0,10개,상(1등급),5000
20220102,제주,3904,C-유통,223,다다기계통,1,소비자가격,2,1,오이,7,11960,0,10개,상(1등급),5980
20220102,제주,3900,동문시장,245,양파(일반),1,소비자가격,0,1,양파,7,2000,0,1KG,상(1등급),2000
20220102,제주,3904,C-유통,245,양파(일반),1,소비자가격,0,1,양파,7,2210,0,1KG,상(1등급),2210
20220102,제주,3900,동문시장,213,일반,1,소비자가격,0,1,시금치,7,4660,0,1KG,상(1등급),4660
20220102,제주,3900,동문시장,224,애호박,1,소비자가격,1,1,호박,7,2000,0,1개,상(1등급),2000
20220102,제주,3904,C-유통,224,애호박,1,소비자가격,1,1,호박,7,2180,0,1개,상(1등급),2180
20220102,제주,3900,동문시장,225,일반,1,소비자가격,0,1,토마토,7,4830,0,1KG,상(1등급),4830
20220102,제주,3900,동문시장,241,화건,1,소비자가격,0,1,건고추,7,18300,0,600G,상(1등급),30500
20220102,제주,3900,동문시장,241,양건,1,소비자가격,2,1,건고추,7,18000,0,600G,상(1등급),30000
20220102,제주,3900,동문시장,223,가시계통,1,소비자가격,1,1,오이,7,11600,0,10개,상(1등급),5800
20220102,제주,3904,C-유통,223,가시계통,1,소비자가격,1,1,오이,7,17800,0,10개,상(1등급),8900
20220102,제주,3900,동문시장,257,일반,1,소비자가격,0,1,멜론,7,10000,0,1개,상(1등급),10000
20220102,제주,3904,C-유통,257,일반,1,소비자가격,0,1,멜론,7,19800,0,1개,상(1등급),19800
20220102,제주,3900,동문시장,418,수입,1,소비자가격,2,1,바나나,7,300,0,100G,상(1등급),3000
20220102,제주,3904,C-유통,418,수입,1,소비자가격,2,1,바나나,7,280,0,100G,상(1등급),2800
20220102,제주,3900,동문시장,312,국산백색,1,소비자가격,1,1,참깨,7,16200,0,500G,상(1등급),32400
20220102,제주,3900,동문시장,312,중국참깨,1,소비자가격,2,2,참깨,7,4230,0,500G,중(2등급),8460
20220102,제주,3900,동문시장,224,쥬키니,1,소비자가격,2,1,호박,7,2000,0,1개,상(1등급),2000
20220102,제주,3904,C-유통,224,쥬키니,1,소비자가격,2,1,호박,7,1780,0,1개,상(1등급),1780
20220102,제주,3900,동문시장,248,일반,1,소비자가격,0,1,고춧가루,7,34900,0,1KG,상(1등급),34900
20220102,제주,3904,C-유통,248,일반,1,소비자가격,0,1,고춧가루,7,38400,0,1KG,상(1등급),38400
20220102,제주,3904,C-유통,225,일반,1,소비자가격,0,2,토마토,7,7420,0,1KG,중(2등급),7420
20220102,제주,3900,동문시장,242,일반고추,1,소비자가격,0,1,풋고추,7,700,0,100G,상(1등급),7000
20220102,제주,3904,C-유통,242,일반고추,1,소비자가격,0,1,풋고추,7,1050,0,100G,상(1등급),10500
20220102,제주,3900,동문시장,242,꽈리고추,1,소비자가격,2,1,풋고추,7,730,0,100G,상(1등급),7300
20220102,제주,3904,C-유통,242,꽈리고추,1,소비자가격,2,1,풋고추,7,1650,0,100G,상(1등급),16500
20220102,제주,3904,C-유통,427,수입,1,소비자가격,0,2,건블루베리,7,3090,0,100G,중(2등급),30900
20220102,제주,3904,C-유통,428,수입,1,소비자가격,0,1,망고,7,5490,0,1개,상(1등급),5490
20220102,제주,3900,동문시장,232,무세척,1,소비자가격,1,1,당근,7,3160,0,1KG,상(1등급),3160
20220102,제주,3904,C-유통,232,무세척,1,소비자가격,1,1,당근,7,2980,0,1KG,상(1등급),2980
20220102,제주,3900,동문시장,248,일반,1,소비자가격,1,1,고춧가루,7,12400,0,1KG,상(1등급),12400
20220102,제주,3904,C-유통,248,일반,1,소비자가격,1,1,고춧가루,7,11800,0,1KG,상(1등급),11800
20220102,제주,3900,동문시장,226,일반,1,소비자가격,0,1,딸기,7,3000,0,100G,상(1등급),30000
20220102,제주,3900,동문시장,214,청,1,소비자가격,2,1,상추,7,600,0,100G,상(1등급),6000
20220102,제주,3904,C-유통,214,청,1,소비자가격,2,1,상추,7,1280,0,100G,상(1등급),12800
20220102,제주,3900,동문시장,242,청양고추,1,소비자가격,3,1,풋고추,7,730,0,100G,상(1등급),7300
